"Model","AIC","LogLik"
"Flexible Parametric",13160.8889233449,-6573.44446167243
"Lognormal AFT",13160.888923345,-6573.44446167249
"Weibull AFT",13306.6291808053,-6646.31459040265
"Cox PH",24934.4434031931,-12460.2217015966
